location,year_range,region_of_residence,nights,visits,gbp_spent
East Ayrshire,2011-2013,Scotland,52000,33000,3000000
East Ayrshire,2011-2013,All of GB,155000,69000,9000000
East Ayrshire,2012-2014,All of GB,154000,61000,11000000
East Ayrshire,2012-2014,Scotland,58000,31000,6000000
East Ayrshire,2012-2014,England,95000,30000,5000000
East Ayrshire,2013-2015,All of GB,166000,62000,10000000
East Ayrshire,2013-2015,England,105000,30000,5000000
East Ayrshire,2013-2015,Scotland,61000,32000,5000000
East Ayrshire,2016-2018,All of GB,214000,60000,15000000
East Ayrshire,2016-2018,England,159000,40000,7000000
East Ayrshire,2017-2019,All of GB,223000,67000,16000000
East Ayrshire,2016-2018,Scotland,38000,19000,7000000
East Ayrshire,2017-2019,England,167000,45000,8000000
East Ayrshire,2017-2019,Scotland,49000,21000,8000000
East Ayrshire,2014-2016,England,84000,27000,4000000
East Ayrshire,2014-2016,Scotland,46000,22000,4000000
East Ayrshire,2014-2016,All of GB,130000,49000,8000000
East Ayrshire,2015-2017,All of GB,174000,59000,12000000
East Ayrshire,2015-2017,England,117000,35000,4000000
East Ayrshire,2015-2017,Scotland,41000,22000,7000000
East Ayrshire,2009-2011,England,198000,37000,5000000
East Ayrshire,2009-2011,All of GB,372000,85000,9000000
East Ayrshire,2009-2011,Scotland,173000,48000,4000000
East Lothian,2013-2015,All of GB,600000,168000,32000000
East Lothian,2013-2015,England,265000,83000,17000000
East Lothian,2014-2016,Scotland,250000,69000,12000000
East Lothian,2014-2016,England,510000,102000,21000000
East Lothian,2012-2014,All of GB,701000,200000,33000000
East Lothian,2014-2016,All of GB,760000,172000,33000000
East Lothian,2011-2013,England,430000,78000,16000000
East Lothian,2011-2013,Scotland,438000,132000,14000000
East Lothian,2011-2013,All of GB,887000,217000,33000000
East Lothian,2012-2014,England,296000,80000,16000000
East Lothian,2012-2014,Scotland,390000,117000,14000000
East Lothian,2013-2015,Scotland,321000,83000,12000000
East Lothian,2010-2012,Scotland,471000,141000,16000000
East Lothian,2010-2012,England,358000,66000,14000000
East Lothian,2009-2011,Scotland,345000,100000,11000000
East Lothian,2015-2017,All of GB,767000,154000,31000000
East Lothian,2010-2012,All of GB,834000,212000,31000000
East Lothian,2009-2011,England,264000,42000,8000000
East Lothian,2009-2011,All of GB,614000,146000,20000000
East Lothian,2015-2017,Scotland,283000,70000,13000000
East Lothian,2015-2017,England,485000,84000,17000000
East Lothian,2017-2019,Scotland,328000,94000,18000000
East Lothian,2017-2019,England,178000,58000,16000000
East Lothian,2016-2018,All of GB,740000,161000,32000000
East Lothian,2017-2019,All of GB,506000,153000,34000000
East Lothian,2016-2018,England,451000,74000,17000000
East Lothian,2016-2018,Scotland,289000,87000,16000000
East Renfrewshire,2012-2014,England,0,0,0
East Renfrewshire,2012-2014,All of GB,0,0,0
East Renfrewshire,2012-2014,Scotland,0,0,0
East Renfrewshire,2013-2015,England,0,0,0
East Renfrewshire,2013-2015,All of GB,0,0,0
East Renfrewshire,2013-2015,Scotland,0,0,0
East Renfrewshire,2009-2011,All of GB,15000,8000,1000000
East Renfrewshire,2009-2011,Scotland,13000,7000,1000000
East Renfrewshire,2009-2011,England,3000,1000,0
East Renfrewshire,2011-2013,England,3000,1000,0
East Renfrewshire,2011-2013,All of GB,7000,3000,1000000
East Renfrewshire,2014-2016,All of GB,8000,4000,0
East Renfrewshire,2017-2019,England,8000,5000,0
East Renfrewshire,2017-2019,All of GB,14000,9000,1000000
East Renfrewshire,2014-2016,England,8000,4000,0
